,text,No_of_tags,Tag,Month,No_of_ans,vote_ans,qual_ans,has_accepted_ans,has_code_col,question_text_len,user_reputation,No_of_votes,quality,predicted_classlabel
0, i am wondering if anyone knows of an algorithm i could use to help me solve the following problem:    allocate people (n) to certain events (m)  m can have only one person attached to it and it must be randomized each time (same person allowed if only one option available(n)). n has properties such as time available and day available. for n to be matched to m the time available and day available must match for both n and m. there can be multiple of n that match the times of m but it has to be the best fit so the rest of m can be allocated. the diagram below will more than likely explain it better (sorry). n can be allocated to more than one m but should be done fairly such that one n doesnt have all of the available m's      as you can see person a could be attached to event a but due to the need to have them all matching (the best attempt to match) it is attached to event b to allow person c to be allocated to event a and person b to event c.    i am simply wondering if anyone knows the name of this type of problem and how i could go about solving it  i am coding the program in java  ,2,algorithm,12,3,1 0 0,0 86 75,0,0,1103,26,3,0,0
1, i've been going through some of my old books on algorithms and learning about different kinds of sort.  it looks like all the quickest sorting algorithms run in about o(nlogn) time and it got me thinking about why is this the best we can do?  i wrote another algorithm that appears to run better in certain situations (unless i've missed something)  but really badly in other situations.  is this already an algorithm that is in use and i'm just reinventing the wheel here?         }     edit  if anyone's interested i went ahead and modified this to accept duplicates so it's more like counting sort.         }  ,3,algorithm,12,2,5 0,98 95,1,1,614,183,1,80,1
2, i am trying to calculate  ((3^n) - (3*(2^n)) + 3)  for 1&lt;=n&lt;=109 in java.    but it looks like it takes a lot of time to calculate this as per the problem statement.         the problems i am facing are          any suggestion to improve the code/calculation method will be helpful. as you can see the result to be displayed is to be modulo(1000000000 + 7). also i have tried writing my own power function in which i am doing this modulo after every multiplication  which does not help either.    thanks  ,4,algorithm,12,4,5 1 0 0,58 100 0 0,0,1,512,314,4,65,1
3, i'm building a poker game. in my application i have a class  . a   is basically an array of 5 ints (one for each color poker chip).          now what if i have for example a   with an array   (5+5+10 = 20) and i want to use my   to pay something that costs 16 units. i would have to exchange chips to make this possible.    what i need is an algorithm that exchanges as efficient as possible (exchange as few chips as possible) to make such a payment possible. a payment would just subtract the amount of chips from the array so the leftovers will still be in the   after the payment. how would i do this?     what i need is this kind of method:         would greatly appreciate it if you could help me figure this out.    for example:    before the algorithm i have a chipset with an array   which has a sum of 20. i want to pay something that costs 16 units. after using the algorithm  i would have the most efficient exchange as possible  in this case the algorithm would change the array to   which also has a sum of 20  but now i can make a payment of 16. after the payment the   would have the array  .    i hope my problem is clear and if it's not  leave a comment and i will explain further.  ,2,algorithm,12,2,2 0,89 91,1,1,1202,1136,5,76,1
4, i've been trying to loop these if but i don't get it  where do i have to put the loop?         thing is  the more n becomes the more if i have to input and i don't get how you reunite them.    thanks for your help    edit :    thanks for your answer  i'm going to check it asap. the program i wanted to do was this :      http://pastebin.com/dkbgjvqj  (coudn't paste it correcly here)    i was able to do it  only it was confusing because if n was like 10  i would've to input 10 if..else.    btw  my program needs to be run under 1s on a 1ghz computer and has to be under 8000 ko. how can i see for the running under 1s part? i guess the .java size is for the size.  ,4,algorithm,12,4,2 2 0 0,82 100 0 0,0,1,669,8,3,0,0
5, given a pattern   we need to generate all possible binary numbers by filling the missing places in the pattern by 0 and 1.         i solved it by creating a method  .         is there some way in which we can leverage the given pattern and design a much faster and/or cleaner solution. i already know that non-recursive solution will be better. java 8 features are also welcome.  ,2,algorithm,12,4,4 2 1 1,82 0 71 0,1,1,381,271,3,88,1
6, i'm creating a world generator for my 2d game  which uses the diamond-square algorithm in java  and i've heard that it only works (or at least  only works well) with numbers that are 2 n +1 (power of two).    the method that generates the world is called with    but that creates a problem. i want to be able to input a    and the function will find the nearest number which  is  a power of two  if the input width isn't. i don't really know how i can do this  so all help is greatly appreciated!     summarizing : if one number isn't power of two  i want to find the nearest number to that one  which  is  a power of two.  ,2,algorithm,12,3,4 2 2,100 0 92,1,1,625,96,2,94,1
7, i have a homework assignment that asks of me to check  for any three numbers  a b c such that 0&lt;=a b c&lt;=10^16  if i can reach c by adding a and b to each other. the trick is  with every addition  their value changes  so if we add a to b  we would then have the numbers a and a+b  instead of a and b. because of this  i realized it's not a simple linear equation.    in order for this to be possible  the target number c  must be able to be represented in the form:    c = x a + y b    through some testing  i figured out that the values of x and y  can't be equal  nor can both of them be even  in order for me to be able to reach the number c. keeping this in mind  along with some special cases involving a b or c to be equal to zero.    any ideas?    edit: it's not euclid's algorithm  it's not a diophantine equation  maybe i have mislead you with the statement that c = x a + y c. even though they should satisfy this statement  it's not enough for the assignment at hand.    take a=2  b=3  c=10 for example. in order to reach c  you would need to add a to b or b to a in the first step  and then in the second step you'd get either : a = 2  b = 5 or a = 5  b = 3  and if you keep doing this  you will never reach c. euclid's algorithm will provide the output yes  but it's clear that you can't reach 10  by adding 2 and 3 to one another.  ,3,algorithm,12,3,2 0 0,86 80 0,1,0,1352,23,1,0,0
8, i have an string array which would be like:         now i need to convert it to hashmap.    i have written two methods for it  i want to know which one is better in terms of efficiency.    method 1:         method 2:         please let me know for any better implementation as well.  ,3,algorithm,12,3,2 0 0,88 93 100,1,1,285,17,0,75,1
9," i'm working on an ai for a game and i want to use the  minmax  algorithm with the  alpha-beta pruning .    i have a rough idea on how it works but i'm still not able to write the code from scratch  so i've spend the last two days looking for some kind of pseudocode online.    my problem is that every pseudocode i've found online seems to be based on finding the value for the best move while i need to return the best move itself and not a number.    my current code is based on this pseudocode ( source )         as you can see  this code returns a number and i guess that this is needed to make everything work (since the returned number is used during the recursion).    so i thought that i may use an external variable to store the best move  and this is how i've changed the previous code:         now  this is how it makes sense to me  because we need to update the best move only if it's player's turn and if the move is better than the previous.    so  while i think that this one's correct (even if i'm not 100% sure)  the  source  has also a  java  implementation which updates the   even in the   case and i don't understand why.    trying with that implementation led my code to choose as best move a move from the oppositing player  which doesn't seem to be correct (assuming that i'm the black player  i'm looking for the best move that i can make so i'm expecting a \""black\"" move and not a \""white\"" one).    i don't know if my pseudocode (the second one) is the correct way to find the best move using  minmax  with  alpha-beta pruning  or if i need to update the best move even in the  score &lt; beta  case.    please feel free to suggest any new and bettere pseudocode if you prefer  i'm not bound to anything and i don't mind rewriting some code if it's better than mine.    edit:    since i can't understand the replies  i guess that maybe the question doesn't ask what i want to know so i'm trying to write it better here.    provided that i want to get the best move only for one player and that this player   which is the maximizer   is passed to the  minmax  function everytime that i need a new move (so that   returns the best move for the black player while   returns the best one for the white player)  how would you change the first pseudocode (or the  java  implementation in the source) to store this given best move somewhere?    edit 2:     let's see if we can make it work this way.    this is my implementation  can you please tell me if it's correct?         edit 3:     new implementation based on @codor's answer/comments         i don't know if i got it right or if i did something wrong  but i'm back to the problem i had when i posted the question:    calling   returns a move that can be done only by the white player and this is not what i need.    i need the best move for the given player  not the best move for the whole board.  ",5,algorithm,12,2,2 0,62 100,1,1,2880,1409,3,62,1
